id,position,name,nombre_cadena,score,ratings,category,price_range,full_address,zip_code,lat,lng,estado,category_list,url_logo
14561,69,Applebee's (Graham),Applebee's,4.3,200,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",$$,"16518 Meridian E, Puyallup, WA, 98375",98375,47.1049753,-122.2940359,WA,"'American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals'",
14563,22,Arby's (20517 Mountain Hwy East),Arby’s,4.4,114,"American, Sandwich",$,"20517 Mountain Hwy East, Spanaway, WA, 98387",98387,47.0708,-122.41718,WA,"'American', 'Sandwich'",
14564,5,Wendy's  (10220 Sunrise Drive E),Wendy’s,4.5,161,"American, Burgers, Fast Food",$,"10220 Sunrise Drive E, Puyallup, WA, 98374",98374,47.0982077,-122.2928451,WA,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
14565,4,Jack in the Box (11024 Canyon Rd),Jack in the Box,4.2,78,"American, burger, Fast Food",$,"11024 Canyon Rd, Puyallup, WA, 98373",98373,47.1554126,-122.3575351,WA,"'American', 'burger', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2022/01/Jack-in-the-Box-Logo-thmb.png
14566,61,"Baskin-Robbins (17404 Meridian E, Ste E)",Baskin-Robbins,4.8,56,"Desserts, Ice Cream + Frozen Yogurt, Comfort Food",$,"17404 Meridian E Ste E, Puyallup, WA, 98375",98375,47.0987027,-122.2968092,WA,"'Desserts', 'Ice Cream + Frozen Yogurt', 'Comfort Food'",
14568,2,McDonald's® (20315 MOUNTAIN HWY E),McDonald’s,3.9,96,"American, Fast Food, Burgers",$,"20315 MOUNTAIN HWY E, SPANAWAY, WA, 98387",98387,47.0723181,-122.4190245,WA,"'American', 'Fast Food', 'Burgers'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14569,40,Jersey Mike's (Sunrise),Jersey Mike’s,4.7,200,"Sandwich, Family Friendly",$$,"10306 156th St E, Puyallup, WA, 98374",98374,47.1146693,-122.2913419,WA,"'Sandwich', 'Family Friendly'",
14571,20,MOD Pizza (Puyallup),MOD Pizza,4.5,138,"Pizza, Desserts, Salads, American, Healthy, Vegetarian Friendly, Kids Friendly",$,"10301 156th St E, Puyallup, WA, 98374",98374,47.1150391,-122.2915985,WA,"'Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly'",
14572,2,The Burger Den (20420 Mountain Highway),The Burger Den,4.4,51,"American, Burgers, Comfort Food, Vegetarian Friendly, Fast Food",$$,"20420 Mountain Highway, Spanaway, WA, 98387",98387,47.07146,-122.41971,WA,"'American', 'Burgers', 'Comfort Food', 'Vegetarian Friendly', 'Fast Food'",
14578,60,Burger King (22229 Mountain Highway),Burger King,4.6,52,"American, burger, Fast Food, Family Meals",$,"22229 Mountain Highway, Spanaway, WA, 98387",98387,47.05473,-122.39895,WA,"'American', 'burger', 'Fast Food', 'Family Meals'",https://1000marcas.net/wp-content/uploads/2019/12/Burger-King-Logo-tumb.jpg
14579,52,Jack in the Box (22209 Meridian Ave E),Jack in the Box,4.4,33,"American, burger, Fast Food",$,"22209 Meridian Ave E, Graham, WA, 98338",98338,47.0547016,-122.2939482,WA,"'American', 'burger', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2022/01/Jack-in-the-Box-Logo-thmb.png
14581,16,McDonald's® (17301 MERIDIAN E),McDonald’s,4.4,200,"American, Fast Food, Burgers",$,"17301 Meridian E, Puyallup, WA, 98375",98375,47.0994222,-122.2927953,WA,"'American', 'Fast Food', 'Burgers'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14582,43,Subway (1407 E 72nd St),Subway,4.6,17,"Fast Food, Sandwich, American",$,"1407 E 72nd St, Tacoma, WA, 98404",98404,47.19254,-122.41007,WA,"'Fast Food', 'Sandwich', 'American'",https://1000marcas.net/wp-content/uploads/2020/03/Subway-Logo-tumb.jpg
14586,29,Wendy's  (15805 Pacific Ave S),Wendy’s,4.4,105,"American, Burgers, Fast Food",$,"15805 Pacific Ave S, Tacoma, WA, 98444",98444,47.112976,-122.43253,WA,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
14587,28,Taco Bell (11304 Canyon Road),Taco Bell,4.4,36,"Burritos, Fast Food, Mexican",$,"11304 Canyon Rd E, Puyallup, WA, 98446",98446,47.152705,-122.357652,WA,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14589,6,Taco Bell (15611 Pacific Ave),Taco Bell,4.5,118,"Burritos, Fast Food, Mexican",$,"15611 Pacific Ave, Tacoma, WA, 98444",98444,47.115582,-122.4343804,WA,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14591,22,Burger King (17524 Meridian East),Burger King,4.4,79,"American, burger, Fast Food, Family Meals",$,"17524 Meridian East, Puyallup, WA, 98375",98375,47.0971761,-122.2967884,WA,"'American', 'burger', 'Fast Food', 'Family Meals'",https://1000marcas.net/wp-content/uploads/2019/12/Burger-King-Logo-tumb.jpg
14592,5,McDonald's® (17509 canyon parkway east),McDonald’s,4.6,200,"American, Fast Food, Burgers",$,"17509 Canyon Pkwy E, Tacoma, WA, 98446",98446,47.0967092,-122.3582395,WA,"'American', 'Fast Food', 'Burgers'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
